ISIN,Name,Coupon,Issue date,Maturity date,Maturity,1/16/2023,1/17/2023,1/18/2023,1/19/2023,1/20/2023,1/23/2023,1/24/2023,1/25/2023,1/26/2023,1/27/2023
CA135087L773,CANADA 20/23,0.25,10/26/2020,2/1/2023,0-3 years,99.84,99.86,99.87,99.9,99.91,99.92,99.93,99.94,99.98,99.99
CA135087M359,CANADA 21/23,0.25,5/14/2021,8/1/2023,0-3 years,97.8,97.801,97.833,97.841,97.828,97.845,97.866,97.903,97.909,97.903
CA135087M920,CANADA 21/24,0.75,10/22/2021,2/1/2024,0-3 years,96.46,96.44,96.47,96.46,96.38,96.4,96.41,96.47,96.46,96.4
CA135087N910,CANADA 22/24,2.75,5/24/2022,8/1/2024,0-3 years,98.34,98.34,98.44,98.39,98.3,98.26,98.24,98.32,98.31,98.18
CA135087P659,CANADA 22/25,3.75,11/2/2022,2/1/2025,0-3 years,100.365,100.385,100.53,100.465,100.295,100.245,100.185,100.275,100.285,100.115
CA135087K940,CANADA 20/25,0.5,4/3/2020,9/1/2025,0-3 years,92.74,92.75,93.03,93.03,92.87,92.82,92.81,92.97,93,92.72
CA135087L518,CANADA 20/26,0.25,10/9/2020,3/1/2026,3-10 years,91.08,91.19,91.43,91.51,91.32,91.23,91.21,91.41,91.45,91.17
CA135087L930,CANADA 21/26,1,4/16/2021,9/1/2026,3-10 years,92.72,92.84,93.24,93.29,92.95,92.9,92.91,93.05,93.04,92.77
CA135087M847,CANADA 21/27,1.25,10/15/2021,3/1/2027,3-10 years,93.14,93.25,93.73,93.78,93.39,93.33,93.35,93.5,93.46,93.14
CA135087N837,CANADA 22/27,2.75,5/13/2022,9/1/2027,3-10 years,99.1,99.22,99.71,99.71,99.24,99.14,99.15,99.29,99.24,98.86
